ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
BakokoA43b,BakokoA43b,,3.56518,9.99905,bako1249,,,Bakoko
BembaM42,BembaM42,,-10.6122,29.2993,bemb1257,,,Bemba (Zambia)
BinjaD241,BinjaD241,,-2.21871,26.3477,song1300,,,Songoora
BiraD322,BiraD322,,1.50054,30.0293,bera1259,,,Bera
BubiA31,BubiA31,,3.53638,8.68929,bube1242,,,Bube
CagaE621,CagaE621,,-3.33743,37.3357,moch1256,,,Mochi
CewaN31b,CewaN31b,,,,chew1246,,,Chewa
CiokweK11,CiokweK11,,-9.66082,21.3992,chok1245,,,Chokwe
DigoE731,DigoE731,,-4.62101,39.1752,digo1243,,,Digo
DokoC40D,DokoC40D,,,,doko1244,,,Doko (Democratic Republic of Congo)
DualaA242,DualaA242,,,,pong1251,,,Pongo
Ejagham800,Ejagham800,,5.54442,8.90959,ejag1239,,,Ejagham
FangA751,FangA751,,,,ntum1238,,,Ntum
GandaJ15,GandaJ15,,0.66884,32.15153,gand1255,,,Ganda
GangelaK19,GangelaK19,,-15.709,18.2515,nyem1238,,,Nyemba
GikuyuE51,GikuyuE51,,-0.29005,36.719,kiku1240,,,Kikuyu
GiryamaE72a1,GiryamaE72a1,,-3.30638,39.6648,giry1241,,,Giryama
GogoG11,GogoG11,,-6.35951,35.4807,gogo1263,,,Gogo
HadimuG43c,HadimuG43c,,,,pemb1239,,,Pemba
HayaJ22H,HayaJ22H,,-1.70878,31.4846,haya1250,,,Haya
HereroR31,HereroR31,,-21.0231,20.5655,here1253,,,Herero
HimaJ13,HimaJ13,,,,hima1248,,,Hima
HundeJ51,HundeJ51,,-1.46762,28.9308,hund1239,,,Hunde
KaguruG12,KaguruG12,,-6.38204,37.0534,kagu1239,,,Kagulu
KambaE55,KambaE55,,-1.60827,37.9532,kamb1297,,,Kamba (Kenya)
KaondeL42,KaondeL42,,-12.4129,25.7646,kaon1241,,,Kaonde
KelaC75,KelaC75,,-1.39085,24.0051,kela1254,,,Kela (Democratic Republic of Congo)
KotaB251,KotaB251,,0.25188,11.787,sake1247,,,Sake
KumuD372,KumuD372,,-0.76333,26.7144,komo1260,,,Komo (Democratic Republic of Congo)
KundaN42,KundaN42,,-15.7337,30.2804,kund1255,,,Chikunda
LalaM52,LalaM52,,-12.945,30.2297,lala1264,,,Lala-Bisa
LambaM54,LambaM54,,-12.3366,27.9026,lamb1271,,,Lamba
LegaD253,LegaD253,,-3.83196,27.1424,lega1249,,,Lega-Shabunda
LeleC841,LeleC841,,-4.69463,21.4556,bush1247,,,Bushoong
LikileC57,LikileC57,,0.36906,24.3098,kele1255,,,Kele-Foma
LingalaC36,LingalaC36,,-4.409174,15.28532,ling1263,,,Kinshasa Lingala
LoziS34,LoziS34,,-17.7052,24.7398,lozi1239,,,Lozi
LubaL33,LubaL33,,-8.2816,25.8918,luba1250,,,Luba-Katanga
LuguruG35,LuguruG35,,-6.86828,37.5557,lugu1238,,,Luguru
LwenaK141,LwenaK141,,-13.5382,22.2924,luva1239,,,Luvale
MadzingB80Mp1,MadzingB80Mp1,,,,mpii1240,,,Mpiin
MakwaP311,MakwaP311,,-14.8509,38.8052,makh1264,,,Makhuwa
MambweM15,MambweM15,,-8.86817,31.2269,mamb1296,,,Mambwe-Lungu
MbesaC51,MbesaC51,,1.6207,22.8389,mbes1238,,,Mbesa
MongoC613,MongoC613,,-1.54228,20.4259,mong1338,,,Mongo
MongoNkundoC611,MongoNkundoC611,,-1.54228,20.4259,mong1338,,,Mongo
MpongweB11a,MpongweB11a,,-1.48741,9.50247,myen1241,,,Myene
NdauS15,NdauS15,,-20.1239,33.1739,ndau1241,,,Ndau
NdebeleS44,NdebeleS44,,-28.9,30.2,zulu1248,,,Zulu
NdembuK221,NdembuK221,,,,ndem1248,,,Ndembu
NdongaR22,NdongaR22,,-17.22,17.35,ndon1254,,,Ndonga
NgombeC41,NgombeC41,,1.45357,20.14148,ngom1268,,,Ngombe (Democratic Republic of Congo)
NgoniS45,NgoniS45,,-11.7794,37.4118,ngon1269,,,Tanzania-Mozambique Ngoni
NguluG34,NguluG34,,-5.79734,37.6823,ngul1246,,,Ngulu
NyakyusaM312,NyakyusaM312,,-9.71018,33.7763,nyak1260,,,Nyakyusa-Ngonde
NyamweziF22,NyamweziF22,,-5.08559,32.94452,nyam1276,,,Nyamwezi
NyanjaN31a,NyanjaN31a,,-14.8047,32.8108,nyan1308,,,Nyanja
NyasaN31,NyasaN31,,-14.8047,32.8108,nyan1308,,,Nyanja
PokomoE711,PokomoE711,,-2.31587,40.2897,poko1261,,,Pokomo
PukuA321,PukuA321,,1.397041,9.51011,bata1285,,,Batanga
RundiJ62,RundiJ62,,-2.94,29.97,rund1242,,,Rundi
RwandaJ611,RwandaJ611,,-1.56771,29.6441,kiny1244,,,Kinyarwanda
SagalaE74b,SagalaE74b,,-6.98537,36.9153,saga1256,,,Sagala
SakataC34,SakataC34,,-2.85653,17.9669,saka1287,,,Sakata
SenaN44,SenaN44,,-19.7933,34.9829,nucl1396,,,Sena
ShambalaG23,ShambalaG23,,-4.8,38.29,sham1280,,,Shambala
ShiJ53,ShiJ53,,-2.55777,28.6122,shii1238,,,Shi
ShonaS10,ShonaS10,,-17.20849,29.75725,shon1251,,,Shona
SikongoH16h,SikongoH16h,,-5.25,15.5,east2782,,,Eastern Kikongo
SogaJ16,SogaJ16,,0.40456,33.3942,soga1242,,,Soga
SongeD10S,SongeD10S,,-5.71993,25.2765,song1303,,,Songe
SothoS33,SothoS33,,-28.78,27.89,sout2807,,,Southern Sotho
SukuH32,SukuH32,,-5.76495,17.7736,suku1259,,,Suku
SukumaF21,SukumaF21,,-3.16082,32.8765,suku1261,,,Sukuma
SumbwaF23,SumbwaF23,,-3.47335,31.9457,sumb1240,,,Sumbwa
SundiH16i4,SundiH16i4,,-4.58488,13.3212,suun1239,,,Suundi
SwatiS43,SwatiS43,,-26.0,31.5,swat1243,,,Swati
TekeB735,TekeB735,,-3.50685,13.8668,teke1276,,,Teke-Tyee
TetelaC711,TetelaC711,,-4.29314,24.546,tete1250,,,Tetela
Tiv802,Tiv802,,6.88039,9.26287,tivv1240,,,Tiv
TongaM641,TongaM641,,-17.422325,27.103495,tong1318,,,Tonga (Zambia)
TsogoB31,TsogoB31,,-1.55469,11.1359,tsog1243,,,Tsogo
TsongaS53,TsongaS53,,-23.5754,31.8105,tson1249,,,Tsonga
TswanaS31,TswanaS31,,-24.368,24.7587,tswa1253,,,Tswana
TumbukaN212,TumbukaN212,,-11.3297,33.3738,tumb1250,,,Tumbuka
UmbunduR111,UmbunduR111,,-12.4763,14.4148,umbu1257,,,Umbundu
VendaS21,VendaS21,,-22.188,29.9523,vend1245,,,Venda
XhosaS41,XhosaS41,,-31.0389,28.0769,xhos1239,,,Xhosa
YakaH314,YakaH314,,-5.984,16.775,yaka1269,,,Yaka-Pelende-Lonzo
YakaKasongoH312,YakaKasongoH312,,-5.984,16.775,yaka1269,,,Yaka-Pelende-Lonzo
YaoP212,YaoP212,,-13.6119,35.2387,yaoo1241,,,Yao
YombeH12b1,YombeH12b1,,-5.1263,12.9657,yomb1244,,,Yombe
ZigulaG31,ZigulaG31,,-5.61864,38.41138,zigu1244,,,Zigula-Mushungulu
ZinzaJ23,ZinzaJ23,,-2.64132,32.1755,zinz1238,,,Zinza
ZuluS42,ZuluS42,,-28.9,30.2,zulu1248,,,Zulu
